# Rho-confidence sets:
step	id	rsid	rho
1	11	rs11	7.599133e-04
2	29	rs29	1.520171e-03
3	10	rs10	2.281290e-03
4	39	rs39	3.034099e-03
5	4	rs4	3.787119e-03
6	46	rs46	4.540548e-03
7	5	rs5	5.294481e-03
8	3	rs3	6.048273e-03
9	28	rs28	6.800112e-03
10	2	rs2	7.551798e-03
11	35	rs35	8.301326e-03
12	54	rs54	9.050891e-03
13	49	rs49	9.797449e-03
14	37	rs37	1.054418e-02
15	6	rs6	1.129036e-02
16	32	rs32	1.203395e-02
17	18	rs18	1.277177e-02
18	41	rs41	1.350954e-02
19	50	rs50	1.424779e-02
20	48	rs48	1.497815e-02
21	21	rs21	1.570552e-02
22	23	rs23	1.643353e-02
23	9	rs9	1.716109e-02
24	55	rs55	1.788603e-02
25	17	rs17	1.860874e-02
26	51	rs51	1.932746e-02
27	22	rs22	2.004445e-02
28	42	rs42	2.075329e-02
29	44	rs44	2.146119e-02
30	26	rs26	2.216428e-02
31	1	rs1	2.286765e-02
32	19	rs19	2.357029e-02
33	20	rs20	2.427330e-02
34	34	rs34	2.497238e-02
35	33	rs33	2.567206e-02
36	52	rs52	2.637152e-02
37	43	rs43	2.706388e-02
38	14	rs14	2.775623e-02
39	13	rs13	2.844874e-02
40	38	rs38	2.913266e-02
41	36	rs36	2.981054e-02
42	30	rs30	3.048292e-02
43	45	rs45	3.114948e-02
44	47	rs47	3.181413e-02
45	31	rs31	3.247750e-02
46	8	rs8	3.312833e-02
47	16	rs16	3.374815e-02
48	12	rs12	3.436691e-02
49	7	rs7	3.496370e-02
50	53	rs53	3.554241e-02
51	24	rs24	3.607725e-02
52	25	rs25	3.661108e-02
53	27	rs27	3.709632e-02
54	15	rs15	3.757796e-02
55	40	rs40	3.800491e-02
